epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,866.213,1.29722,3.64177,0.48183,0.26389,0.18467,0.10069,0.03833,0.95464,0.74559,0.49034,0.000185119,0.000185119,0.000185119
2,1710.75,0.7662,0.79974,0.19583,0.28356,0.24862,0.15933,0.07208,0.78781,0.73784,0.39015,0.000362117,0.000362117,0.000362117
3,2553.31,0.72043,0.78491,0.17847,0.30115,0.22004,0.14925,0.06314,0.8878,0.73294,0.46844,0.000531331,0.000531331,0.000531331
4,3414.05,0.69732,0.79236,0.16423,0.22333,0.26401,0.16804,0.07256,0.7838,0.84863,0.39102,0.000519304,0.000519304,0.000519304
5,4252.83,0.69154,0.75851,0.16656,0.23454,0.27665,0.17492,0.0754,0.72987,0.84267,0.34818,0.000507072,0.000507072,0.000507072
6,5090.72,0.66836,0.75881,0.15301,0.271,0.28661,0.18659,0.08067,0.75201,0.71073,0.36613,0.00049484,0.00049484,0.00049484
7,5931.91,0.65176,0.76455,0.1502,0.2588,0.27705,0.1781,0.07867,0.73397,0.69687,0.35157,0.000482608,0.000482608,0.000482608
8,6792.19,0.63958,0.73655,0.14478,0.26636,0.29315,0.2073,0.0933,0.7043,0.71884,0.34542,0.000470376,0.000470376,0.000470376
9,7633.34,0.62891,0.72877,0.14596,0.263,0.29438,0.20183,0.09755,0.70447,0.72874,0.32694,0.000458144,0.000458144,0.000458144
10,8471.94,0.62746,0.69894,0.14192,0.30174,0.28366,0.20439,0.08953,0.7436,0.70606,0.36382,0.000445912,0.000445912,0.000445912
11,9310.61,0.61856,0.74258,0.13814,0.28543,0.29932,0.2253,0.10534,0.69824,0.6784,0.32635,0.00043368,0.00043368,0.00043368
12,10165.3,0.60792,0.69814,0.13558,0.31696,0.29757,0.21802,0.10169,0.69958,0.70791,0.33687,0.000421448,0.000421448,0.000421448
13,11013.8,0.61574,0.72157,0.14024,0.30003,0.28939,0.2087,0.09124,0.71789,0.68529,0.34963,0.000409216,0.000409216,0.000409216
14,11851.7,0.61729,0.70713,0.13376,0.2911,0.30955,0.22122,0.10322,0.69865,0.69392,0.32658,0.000396984,0.000396984,0.000396984
15,12692.3,0.59098,0.68558,0.13258,0.30947,0.29461,0.22868,0.10884,0.68142,0.72781,0.31374,0.000384752,0.000384752,0.000384752
16,13542.3,0.58052,0.68915,0.12414,0.32815,0.29246,0.22382,0.10251,0.71587,0.63129,0.35319,0.00037252,0.00037252,0.00037252
17,14402.9,0.58494,0.66977,0.12806,0.30621,0.31314,0.23512,0.11161,0.71557,0.65734,0.33459,0.000360288,0.000360288,0.000360288
18,15246.6,0.58748,0.68262,0.12626,0.2998,0.31855,0.23177,0.10529,0.68471,0.67196,0.32515,0.000348056,0.000348056,0.000348056
19,16089.5,0.58078,0.6708,0.12514,0.32038,0.3114,0.23123,0.10632,0.68913,0.63601,0.32337,0.000335824,0.000335824,0.000335824
20,16934.2,0.564,0.65374,0.12069,0.30534,0.32447,0.2341,0.10886,0.67738,0.65688,0.32557,0.000323592,0.000323592,0.000323592
21,17802.9,0.56144,0.65241,0.12274,0.34838,0.31016,0.2491,0.11703,0.66399,0.69012,0.30715,0.00031136,0.00031136,0.00031136
22,18647.2,0.56394,0.63686,0.11966,0.28705,0.32329,0.23491,0.10918,0.70067,0.649,0.32757,0.000299128,0.000299128,0.000299128
23,19491.6,0.54859,0.66232,0.12007,0.31928,0.29701,0.23517,0.10697,0.72166,0.60891,0.35021,0.000286896,0.000286896,0.000286896
24,20335.9,0.54642,0.6276,0.11418,0.31756,0.34309,0.24774,0.11522,0.68922,0.6514,0.32693,0.000274664,0.000274664,0.000274664
25,21205.1,0.54009,0.63224,0.11726,0.30562,0.32549,0.24294,0.11426,0.69707,0.63498,0.33637,0.000262432,0.000262432,0.000262432
26,22049,0.53618,0.61796,0.10952,0.28393,0.32055,0.22987,0.1045,0.70666,0.6412,0.34213,0.0002502,0.0002502,0.0002502
27,22893.6,0.52749,0.60764,0.11002,0.33601,0.31883,0.25193,0.11717,0.71377,0.63278,0.34678,0.000237968,0.000237968,0.000237968
28,23738.4,0.5239,0.61411,0.10846,0.33855,0.32423,0.2525,0.11786,0.70014,0.61668,0.33051,0.000225736,0.000225736,0.000225736
29,24602.2,0.52183,0.61425,0.11271,0.34295,0.30411,0.24511,0.11397,0.7046,0.64213,0.33203,0.000213504,0.000213504,0.000213504
